State,"Prices February, 2022 (Rs./Quintal)","Prices January, 2022 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year),Commodity,Year,Month,"Prices March, 2022 (Rs./Quintal)","Prices March, 2021 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)","Prices May, 2022 (Rs./Quintal)","Prices May, 2021 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)","Prices June, 2021 (Rs./Quintal)","Prices July, 2022 (Rs./Quintal)","Prices July, 2021 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)","Prices August, 2021 (Rs./Quintal)","Prices September, 2022 (Rs./Quintal)","Prices September, 2021 (Rs./Quintal)","Prices October, 2022 (Rs./Quintal)","Prices October, 2021 (Rs./Quintal)","Prices November, 2022 (Rs./Quintal)","Prices November, 2021 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)","Prices December, 2021 (Rs./Quintal)","Prices January, 2023 (Rs./Quintal)","Prices February, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2023 (Rs./Quintal)","Prices May, 2023 (Rs./Quintal)","Prices June, 2023 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)","Prices August, 2023 (Rs./Quintal)","Prices September, 2023 (Rs./Quintal)","Prices October, 2023 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)","Prices December, 2023 (Rs./Quintal)","Prices January, 2024 (Rs./Quintal)","Prices February, 2024 (Rs./Quintal)","Prices March, 2024 (Rs./Quintal)","Prices May, 2024 (Rs./Quintal)","Prices April, 2024 (Rs./Quintal)","Prices June, 2024 (Rs./Quintal)","Prices August, 2024 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)","Prices September, 2024 (Rs./Quintal)","Prices October, 2024 (Rs./Quintal)","Prices November, 2024 (Rs./Quintal)","Prices December, 2024 (Rs./Quintal)","Prices January, 2021 (Rs./Quintal)"
Madhya Pradesh,,,,-2.0,12.3,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,1907.61,,,,,,,,,,,2142.0,2186.51,,,,,,,,
Maharashtra,,,,-8.4,2.1,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2323.58,,,,,,,,,,,2373.17,2591.36,,,,,,,,
NCT of Delhi,,,,0.2,6.9,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,2138.33,2133.46,,,,,,,,
Rajasthan,,,,-1.5,0.6,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2179.1,,,,,,,,,,,2192.92,2225.49,,,,,,,,
Tamil Nadu,,,,-35.6,,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028.0,3150.0,,,,,,,,
Telangana,,,,,,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.67,,,,,,,,,
Uttar Pradesh,,,,-2.9,-1.9,Bajra,2024,5,,,,,,,,,,,,,,,,,,,,,,,,,2197.44,,,,,,,,,,,2156.79,2220.43,,,,,,,,
Gujarat,,,,-2.6,7.8,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2065.79,,,,,,,,,,2286.08,,2226.84,,,,,,,
Haryana,,,,64.8,81.9,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2058.42,,,,,,,,,,2271.72,,3744.88,,,,,,,
Karnataka,,,,-25.7,-0.8,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2449.11,,,,,,,,,,3269.1,,2430.31,,,,,,,
Madhya Pradesh,,,,0.0,23.5,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,1734.87,,,,,,,,,,2142.0,,2142.5,,,,,,,
Maharashtra,,,,6.7,0.6,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2517.62,,,,,,,,,,2373.17,,2533.19,,,,,,,
NCT of Delhi,,,,8.9,8.4,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2147.44,,,,,,,,,,2138.33,,2327.86,,,,,,,
Rajasthan,,,,-1.8,4.9,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2053.15,,,,,,,,,,2192.92,,2154.22,,,,,,,
Tamil Nadu,,,,43.4,11.8,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2600.0,,,,,,,,,,2028.0,,2907.94,,,,,,,
Telangana,,,,-1.8,17.9,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,1777.63,,,,,,,,,,2133.67,,2095.0,,,,,,,
Uttar Pradesh,,,,-1.8,-2.1,Bajra,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,2163.05,,,,,,,,,,2156.79,,2117.87,,,,,,,
Gujarat,,,,2.8,11.2,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146.8,,,,,,,,,,,2388.01,2322.79,,,,,
Haryana,,,,16.4,9.6,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870.83,,,,,,,,,,,2050.38,1761.55,,,,,
Karnataka,,,,0.3,-3.1,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622.44,,,,,,,,,,,2540.59,2532.71,,,,,
Madhya Pradesh,,,,-8.1,36.1,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632.35,,,,,,,,,,,2220.92,2416.6,,,,,
Maharashtra,,,,0.7,0.3,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2739.56,,,,,,,,,,,2748.44,2729.16,,,,,
NCT of Delhi,,,,11.9,,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2489.13,2225.14,,,,,
Rajasthan,,,,3.4,15.1,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.56,,,,,,,,,,,2182.16,2110.89,,,,,
Tamil Nadu,,,,-6.5,8.8,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730.56,,,,,,,,,,,2969.84,3176.66,,,,,
Telangana,,,,,,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106.0,,,,,
Uttar Pradesh,,,,1.3,11.0,Bajra,2024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957.22,,,,,,,,,,,2171.96,2143.47,,,,,
Gujarat,,,,1.9,17.3,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.21,,,,,,,,,,2388.01,,2433.71,,,,
Haryana,,,,14.8,7.0,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199.17,,,,,,,,,,2050.38,,2353.07,,,,
Karnataka,,,,-9.2,-0.2,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311.51,,,,,,,,,,2540.59,,2307.53,,,,
Madhya Pradesh,,,,3.7,29.1,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.93,,,,,,,,,,2220.92,,2302.73,,,,
Maharashtra,,,,-2.6,-2.5,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2746.24,,,,,,,,,,2748.44,,2677.4,,,,
NCT of Delhi,,,,-6.5,19.3,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.32,,,,,,,,,,2489.13,,2326.88,,,,
Odisha,,,,,,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.0,,,,,,,,,,,,,,,,
Rajasthan,,,,2.2,14.6,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.68,,,,,,,,,,2182.16,,2230.29,,,,
Tamil Nadu,,,,2.3,-32.6,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4506.76,,,,,,,,,,2969.84,,3039.25,,,,
Telangana,,,,,,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,4.8,17.4,Bajra,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.22,,,,,,,,,,2171.96,,2276.04,,,,
Gujarat,,,,1.0,15.2,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.91,,,,,,,,,,,2433.71,2457.95,,,
Haryana,,,,11.1,15.3,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2267.77,,,,,,,,,,,2353.07,2614.11,,,
Karnataka,,,,-2.0,-2.1,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309.8,,,,,,,,,,,2307.53,2260.58,,,
Madhya Pradesh,,,,3.8,25.0,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911.93,,,,,,,,,,,2302.73,2389.41,,,
Maharashtra,,,,2.7,0.6,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2731.92,,,,,,,,,,,2677.4,2748.81,,,
NCT of Delhi,,,,6.8,16.8,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2127.62,,,,,,,,,,,2326.88,2484.29,,,
Rajasthan,,,,6.9,16.2,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2052.69,,,,,,,,,,,2230.29,2384.42,,,
Tamil Nadu,,,,2.2,-42.4,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390.95,,,,,,,,,,,3039.25,3104.88,,,
Telangana,,,,,,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2349.52,,,
Uttar Pradesh,,,,5.6,14.6,Bajra,2024,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097.97,,,,,,,,,,,2276.04,2404.22,,,
Andhra Pradesh,,,,,,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.6,,
Chattisgarh,,,,,,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,,
Gujarat,,,,6.7,11.5,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351.95,,,,,,,,,,,2457.95,2623.31,,
Haryana,,,,0.4,6.1,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471.81,,,,,,,,,,,2614.11,2623.61,,
Karnataka,,,,3.0,-10.7,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607.03,,,,,,,,,,,2260.58,2327.29,,
Madhya Pradesh,,,,-0.8,13.9,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.65,,,,,,,,,,,2389.41,2370.67,,
Maharashtra,,,,8.7,-3.0,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.35,,,,,,,,,,,2748.81,2987.29,,
NCT of Delhi,,,,5.9,13.2,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2323.09,,,,,,,,,,,2484.29,2630.51,,
Rajasthan,,,,4.4,14.6,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171.3,,,,,,,,,,,2384.42,2488.92,,
Tamil Nadu,,,,-3.0,-56.5,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6928.88,,,,,,,,,,,3104.88,3012.37,,
Telangana,,,,14.9,22.5,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203.0,,,,,,,,,,,2349.52,2699.0,,
Uttar Pradesh,,,,4.6,2.6,Bajra,2024,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2452.29,,,,,,,,,,,2404.22,2515.45,,
Andhra Pradesh,,,,6.8,,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.6,2279.38,
Chattisgarh,,,,-1.1,,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,2968.0,
Gujarat,,,,5.8,15.1,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409.93,,,,,,,,,,,2623.31,2774.38,
Haryana,,,,-1.6,-36.9,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4090.3,,,,,,,,,,,2623.61,2582.08,
Karnataka,,,,-1.6,-9.6,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530.71,,,,,,,,,,,2327.29,2289.03,
Madhya Pradesh,,,,1.3,13.2,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121.44,,,,,,,,,,,2370.67,2401.13,
Maharashtra,,,,2.5,-1.6,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3113.12,,,,,,,,,,,2987.29,3063.16,
NCT of Delhi,,,,-1.9,2.1,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526.96,,,,,,,,,,,2630.51,2579.69,
Rajasthan,,,,0.9,13.3,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2217.45,,,,,,,,,,,2488.92,2511.77,
Tamil Nadu,,,,-4.7,-32.6,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4261.68,,,,,,,,,,,3012.37,2871.86,
Telangana,,,,-25.9,-14.5,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340.0,,,,,,,,,,,2699.0,2000.0,
Uttar Pradesh,,,,1.9,11.2,Bajra,2024,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306.27,,,,,,,,,,,2515.45,2564.24,
Andhra Pradesh,,1773.32,,-2.8,-24.6,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,1824.65,,,,,,,,,,,,,,,,,,,,,,,,,2351.22
Gujarat,,2209.36,,19.1,-16.4,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,1854.73,,,,,,,,,,,,,,,,,,,,,,,,,2643.72
Karnataka,,2005.05,,-6.6,6.8,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,2146.71,,,,,,,,,,,,,,,,,,,,,,,,,1876.44
Madhya Pradesh,,1899.91,,-2.0,20.3,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,1939.3,,,,,,,,,,,,,,,,,,,,,,,,,1579.38
Maharashtra,,2498.61,,13.2,-3.4,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,2207.45,,,,,,,,,,,,,,,,,,,,,,,,,2587.33
NCT of Delhi,,2175.33,,,,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,2083.04,,3.5,-15.2,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,2013.12,,,,,,,,,,,,,,,,,,,,,,,,,2457.03
Tamil Nadu,,2646.87,,-18.9,17.2,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,3265.18,,,,,,,,,,,,,,,,,,,,,,,,,2258.33
Telangana,,2631.74,,,,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,2628.13,,16.9,-2.3,Jowar,2022,1,,,,,,,,,,,,,,,,,,,,2247.81,,,,,,,,,,,,,,,,,,,,,,,,,2689.4
Andhra Pradesh,1747.08,1773.32,2218.7,-1.5,-21.3,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,2511.15,2209.36,2588.08,13.7,-3.0,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,2223.08,2005.05,2013.45,10.9,10.4,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,2149.77,1899.91,1247.03,13.2,72.4,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,2523.64,2498.61,2615.66,1.0,-3.5,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,2081.82,2175.33,,-4.3,,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,2369.75,2083.04,2387.04,13.8,-0.7,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2933.65,2646.87,2391.1,10.8,22.7,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,2691.69,2631.74,,2.3,,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2447.45,2628.13,3134.73,-6.9,-21.9,Jowar,2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,1747.08,,,1.5,-24.2,Jowar,2022,3,1773.17,2340.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattisgarh,,,,,,Jowar,2022,3,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,2511.15,,,0.5,-2.2,Jowar,2022,3,2522.99,2579.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,2223.08,,,2.3,7.6,Jowar,2022,3,2273.89,2113.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,2149.77,,,-9.2,51.1,Jowar,2022,3,1952.09,1292.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,2523.64,,,3.2,-10.6,Jowar,2022,3,2604.02,2912.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,2081.82,,,18.0,,Jowar,2022,3,2456.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,,,,,,Jowar,2022,3,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,2369.75,,,1.8,-0.0,Jowar,2022,3,2413.19,2413.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,2933.65,,,-12.7,-12.7,Jowar,2022,3,2559.82,2931.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,2691.69,,,16.2,,Jowar,2022,3,3128.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,2447.45,,,-1.4,0.9,Jowar,2022,3,2412.34,2391.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,-0.7,-13.5,Jowar,2022,4,1773.17,,1760.12,2034.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattisgarh,,,,,,Jowar,2022,4,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,8.1,20.3,Jowar,2022,4,2522.99,,2726.42,2267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,5.9,4.2,Jowar,2022,4,2273.89,,2408.1,2311.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-3.4,64.6,Jowar,2022,4,1952.09,,1885.1,1145.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,-1.4,3.6,Jowar,2022,4,2604.02,,2568.92,2478.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-26.7,,Jowar,2022,4,2456.3,,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,,,,,,Jowar,2022,4,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-2.6,1.4,Jowar,2022,4,2413.19,,2350.78,2317.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,9.0,-4.2,Jowar,2022,4,2559.82,,2790.29,2913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,-4.6,,Jowar,2022,4,3128.35,,2984.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-7.8,-12.7,Jowar,2022,4,2412.34,,2224.23,2547.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,2.2,-7.1,Jowar,2022,5,,,1760.12,,1798.36,1936.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattisgarh,,,,,,Jowar,2022,5,,,,,1750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,10.6,18.7,Jowar,2022,5,,,2726.42,,3015.41,2539.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,-3.5,-4.0,Jowar,2022,5,,,2408.1,,2323.05,2421.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-8.4,34.1,Jowar,2022,5,,,1885.1,,1727.39,1287.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,-3.0,18.3,Jowar,2022,5,,,2568.92,,2492.74,2107.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,31.0,,Jowar,2022,5,,,1800.0,,2358.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,5.1,54.0,Jowar,2022,5,,,2350.78,,2469.96,1603.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,5.0,-2.1,Jowar,2022,5,,,2790.29,,2928.81,2990.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,-30.8,,Jowar,2022,5,,,2984.28,,2064.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,6.5,15.7,Jowar,2022,5,,,2224.23,,2368.73,2046.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,-3.6,-8.9,Jowar,2022,6,,,,,1798.36,,1733.84,1902.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattisgarh,,,,,,Jowar,2022,6,,,,,1750.0,,,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,9.2,35.9,Jowar,2022,6,,,,,3015.41,,3293.05,2422.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,2.4,6.6,Jowar,2022,6,,,,,2323.05,,2378.69,2232.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,15.6,57.9,Jowar,2022,6,,,,,1727.39,,1996.03,1264.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,5.3,12.6,Jowar,2022,6,,,,,2492.74,,2624.26,2330.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,14.5,,Jowar,2022,6,,,,,2358.25,,2700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,15.5,13.1,Jowar,2022,6,,,,,2469.96,,2853.13,2523.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,-17.0,-8.2,Jowar,2022,6,,,,,2928.81,,2430.01,2648.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,32.0,,Jowar,2022,6,,,,,2064.76,,2725.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,-6.2,1.8,Jowar,2022,6,,,,,2368.73,,2221.78,2182.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,-0.2,-9.5,Jowar,2022,7,,,,,,,1733.84,,1729.78,1911.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,10.9,62.4,Jowar,2022,7,,,,,,,3293.05,,3652.34,2248.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,3.7,11.2,Jowar,2022,7,,,,,,,2378.69,,2467.25,2219.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-2.2,89.1,Jowar,2022,7,,,,,,,1996.03,,1952.2,1032.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,11.3,36.3,Jowar,2022,7,,,,,,,2624.26,,2920.92,2143.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,-5.4,,Jowar,2022,7,,,,,,,2700.0,,2553.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,,,,-7.9,21.8,Jowar,2022,7,,,,,,,2853.13,,2628.08,2157.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,,,,16.6,-17.8,Jowar,2022,7,,,,,,,2430.01,,2832.24,3447.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,0.7,4.7,Jowar,2022,7,,,,,,,2725.21,,2743.74,2620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,11.9,10.6,Jowar,2022,7,,,,,,,2221.78,,2486.33,2247.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,5.1,-1.2,Jowar,2022,8,,,,,,,,,1729.78,,1818.23,1840.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,-8.3,49.3,Jowar,2022,8,,,,,,,,,3652.34,,3350.36,2244.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,1.6,23.4,Jowar,2022,8,,,,,,,,,2467.25,,2505.73,2031.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,-5.2,29.2,Jowar,2022,8,,,,,,,,,1952.2,,1849.94,1431.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,1.9,33.4,Jowar,2022,8,,,,,,,,,2920.92,,2975.27,2230.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT of Delhi,,,,13.2,,Jowar,2022,8,,,,,,,,,2553.35,,2891.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
